file,threshold,winner_baseline,winner_condensed
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.01,"('Ian SLOAN (Lab)',)","('Ross VETTRAINO (SNP)',)"
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.02,"('Ross VETTRAINO (SNP)',)","('Ian SLOAN (Lab)',)"
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.0,"('John HOOD (Lab)',)","('Iain MCMILLAN (Lab)',)"
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.01,"('Iain MCMILLAN (Lab)',)","('John CALDWELL (Lab)',)"
Ward2-KintyreandtheIslands_ward2.csv,0.02,"('Dougie MCFADZEAN (SNP)',)","('John MCALPINE (Ind)',)"
Ward2-KintyreandtheIslands_ward2.csv,0.03,"('Dougie MCFADZEAN (SNP)',)","('John MCALPINE (Ind)',)"
Ward2-KintyreandtheIslands_ward2.csv,0.04,"('Dougie MCFADZEAN (SNP)',)","('John MCALPINE (Ind)',)"
Ward2-KintyreandtheIslands_ward2.csv,0.05,"('John MCALPINE (Ind)',)","('Dougie MCFADZEAN (SNP)',)"
Ward2-KintyreandtheIslands_ward2.csv,0.06,"('John MCALPINE (Ind)',)","('Dougie MCFADZEAN (SNP)',)"
Ward2-KintyreandtheIslands_ward2.csv,0.07,"('John MCALPINE (Ind)',)","('Dougie MCFADZEAN (SNP)',)"
Minneapolis_11022021_CityCouncilWard2.csv,0.02,"('Cam Gordon',)","('Robin Wonsley Worlobah',)"
Minneapolis_11022021_CityCouncilWard2.csv,0.03,"('Cam Gordon',)","('Robin Wonsley Worlobah',)"
Minneapolis_11022021_CityCouncilWard2.csv,0.07,"('Robin Wonsley Worlobah',)","('Yusra Arab',)"
Minneapolis_11022021_CityCouncilWard2.csv,0.08,"('Robin Wonsley Worlobah',)","('Yusra Arab',)"
Minneapolis_11022021_CityCouncilWard2.csv,0.09,"('Yusra Arab',)","('Robin Wonsley Worlobah',)"
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.02,"('Sam PAYNE (Con)',)","('Moray Charles GRANT (SNP)',)"
preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.03,"('Sam PAYNE (Con)',)","('Moray Charles GRANT (SNP)',)"
Oakland_11082022_Schoolboarddistrict4.csv,0.04,"('PECOLIA MANIGO',)","('MIKE HUTCHINSON',)"
Oakland_11082022_Schoolboarddistrict4.csv,0.05,"('NICK RESNICK',)","('MIKE HUTCHINSON',)"
Oakland_11082022_Schoolboarddistrict4.csv,0.09,"('NICK RESNICK',)","('MIKE HUTCHINSON',)"
Ward03-Kilwinning_n-ayrshire12-03.csv,0.08,"('John FERGUSON (SNP)',)","('Joe CULLINANE (Lab)',)"
Ward03-Kilwinning_n-ayrshire12-03.csv,0.09,"('John FERGUSON (SNP)',)","('Joe CULLINANE (Lab)',)"
ForfarandDistrict_angus12-03.csv,0.02,"('(SNP) Glennis MIDDLETON',)","('(SNP) Lynne DEVINE',)"
ForfarandDistrict_angus12-03.csv,0.06,"('(Ind) COLIN BROWN',)","('(SNP) Lynne DEVINE',)"
ForfarandDistrict_angus12-03.csv,0.07,"('(Ind) COLIN BROWN',)","('(SNP) Lynne DEVINE',)"
